,timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,other_monetary_comp,currency,currency_other,additional_context_on_income,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience
14332,2021-04-28 14:25:58,25-34,"Accounting, Banking & Finance",Tax Associate 2,,96500,2000.0,USD,,,USA,California,San Francisco,5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,"Hispanic, Latino, or Spanish origin",98500.0,2
14333,2021-04-28 14:26:06,35-44,Law,Counsel,Attorney,400000,0.0,USD,,"I work part time, but hours are variable -- usually bill around 1300 per year. My salary is $300K, and I estimated $400K if I were full time.",United States,New York,New York City,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,400000.0,11
14334,2021-04-28 14:26:09,25-34,Nonprofits,Marketing and Communications Specialist,,70000,0.0,USD,,,United States,Massachusetts,Boston,5-7 years,2 - 4 years,Master's degree,Woman,White,70000.0,2
14335,2021-04-28 14:26:09,25-34,Computing or Tech,Senior Front-End Web Developer,,88000,3000.0,USD,,,United States,Michigan,Grand Rapids,8 - 10 years,8 - 10 years,College degree,Woman,White,91000.0,8
14337,2021-04-28 14:26:13,25-34,"Marketing, Advertising & PR",Digital Analyst,"Google Analytics, Tableau etc",65000,6000.0,USD,,,USA,Georgia,Atlanta,5-7 years,5-7 years,College degree,Man,White,71000.0,5
14338,2021-04-28 14:26:44,35-44,Computing or Tech,Senior cloud Solutions architect,,90000,30000.0,GBP,,,Uk,,Virtual,21 - 30 years,21 - 30 years,College degree,Woman,White,167453.93272538253,21
14339,2021-04-28 14:26:45,35-44,Computing or Tech,software developer,,90000,0.0,CAD,,,Canada,,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,White,73149.61941878563,8
14342,2021-04-28 14:26:58,45-54,"Accounting, Banking & Finance",president,,200000,250000.0,USD,,the extra is owner dividend/distribution,USA,North Carolina,Asheville,21 - 30 years,21 - 30 years,Master's degree,Woman,White,450000.0,21
14344,2021-04-28 14:27:01,25-34,"Marketing, Advertising & PR",Marketing Manager,,33600,0.0,EUR,,,Germany,,Ingolstadt,2 - 4 years,2 - 4 years,College degree,Woman,White,40776.35262807233,2
14345,2021-04-28 14:27:03,25-34,Computing or Tech,Software Developer,,106000,0.0,USD,,,United States of America,Colorado,Denver,5-7 years,2 - 4 years,College degree,Man,White,106000.0,2
14346,2021-04-28 14:27:33,18-24,Business or Consulting,IT Auditor,,82000,4000.0,USD,,,USA,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman,Asian or Asian American,86000.0,2
14347,2021-04-28 14:27:35,18-24,Computing or Tech,Solutions Engineer,,80000,15000.0,USD,,,United States,New York,New York,2 - 4 years,2 - 4 years,College degree,Woman,Black or African American,95000.0,2
14348,2021-04-28 14:27:45,25-34,Media & Digital,Communications specialist,Writing/editing for a DOE laboratory,82500,0.0,USD,,,USA,New Mexico,Los Alamos,8 - 10 years,8 - 10 years,College degree,Woman,White,82500.0,8
14349,2021-04-28 14:27:54,35-44,Computing or Tech,Senior Marketing Manager,,165000,0.0,USD,,,USA,California,Oakland,11 - 20 years,8 - 10 years,Some college,Woman,Black or African American,165000.0,8
14353,2021-04-28 14:28:22,35-44,Computing or Tech,Chief People Officer,,135000,33759.0,USD,,,United States,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White,168759.0,11
14354,2021-04-28 14:28:39,25-34,Nonprofits,Executive Assistant,,55000,0.0,USD,,,United States,Texas,Fort Worth,5-7 years,2 - 4 years,College degree,Woman,White,55000.0,2
14355,2021-04-28 14:28:40,25-34,Education (Higher Education),Graduate Student,,26000,0.0,USD,,,United States,Tennessee,Nashville,8 - 10 years,5-7 years,Master's degree,Man,White,26000.0,5
14357,2021-04-28 14:28:56,35-44,Law,Assistant Counsel,Litigator,82000,0.0,USD,,,USA,Texas,Austin,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,White,82000.0,11
14360,2021-04-28 14:29:13,25-34,Engineering or Manufacturing,Civil Engineer I,,80000,0.0,USD,,,USA,Washington,Seattle,2 - 4 years,2 - 4 years,Master's degree,Woman,Asian or Asian American,80000.0,2
14361,2021-04-28 14:29:15,25-34,Nonprofits,EA to the Chief Development Officer,,74000,0.0,USD,,,USA,District of Columbia,"Washington, DC",8 - 10 years,2 - 4 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",74000.0,2
14362,2021-04-28 14:29:34,25-34,Media & Digital,Senior Site Reliability Engineer,,150000,25000.0,USD,,,United States,Michigan,Detroit,5-7 years,2 - 4 years,Some college,Woman,White,175000.0,2
14364,2021-04-28 14:29:50,25-34,Health care,Patient Care Coordinator,,33280,0.0,USD,,,USA,Oregon,Portland,2 - 4 years,2 - 4 years,College degree,Non-binary,White,33280.0,2
14366,2021-04-28 14:30:05,25-34,Nonprofits,Legal Assistant,,34000,0.0,USD,,,United States,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White,34000.0,2
14367,2021-04-28 14:30:05,25-34,"Marketing, Advertising & PR",Communications Coordinator,,45000,0.0,CAD,,,Canada,,Halifax,5-7 years,5-7 years,College degree,Woman,White,36574.809709392815,5
14368,2021-04-28 14:30:08,25-34,Nonprofits,Marketing Assistant,,46100,0.0,USD,,,US,Georgia,Atlanta,8 - 10 years,2 - 4 years,Master's degree,Woman,Black or African American,46100.0,2
14369,2021-04-28 14:30:10,18-24,Computing or Tech,Business Analyst,,70000,3500.0,USD,,,USA,North Carolina,Raleigh,2 - 4 years,1 year or less,College degree,Woman,Asian or Asian American,73500.0,1
14371,2021-04-28 14:30:22,35-44,Computing or Tech,Director of Customer Solutions,Design software solutions for other tech companies,106500,5000.0,USD,,,United States,Connecticut,Hartford,8 - 10 years,8 - 10 years,College degree,Man,White,111500.0,8
14373,2021-04-28 14:31:16,25-34,Engineering or Manufacturing,Electrical Engineer,,92900,3000.0,USD,,,United States,Texas,Fort Worth,2 - 4 years,2 - 4 years,College degree,Prefer not to answer,,95900.0,2
14374,2021-04-28 14:31:21,35-44,Law,Paralegal,,52000,0.0,USD,,,USA,New Jersey,Elizabeth,11 - 20 years,8 - 10 years,Some college,Woman,White,52000.0,8
14375,2021-04-28 14:31:27,25-34,Computing or Tech,Technical Systems Administrator,I take care of the technical side of our company's IT applications.,48000,12000.0,EUR,,The additional compensation consists of a holiday allowance (standard in my country) plus a mobility budget which is in my case a portion of additional gross income.,The Netherlands,,Utrecht,11 - 20 years,11 - 20 years,Some college,Man,White,72814.91540727203,11
14376,2021-04-28 14:31:34,18-24,Nonprofits,Communications Associate,,46000,0.0,USD,,,US,Massachusetts,Boston,2 - 4 years,1 year or less,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",46000.0,1
14377,2021-04-28 14:31:53,45-54,Health care,Clinical Lab Technical Supervisor,,82000,0.0,USD,,,USA,Florida,Jacksonville,21 - 30 years,21 - 30 years,Master's degree,Woman,White,82000.0,21
14378,2021-04-28 14:32:09,35-44,Education (Primary/Secondary),School Psychologist,A school psychologist is a different role from a school counselor. We also work with mental health and well-being but also with designing systems and curriculum with administration and evaluate and test students for special education eligibility,65500,1500.0,USD,,The 1500 is in the form of an annual stipend that is broken into each pay period,United States,Arizona,Yuma,11 - 20 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,White,67000.0,1
14380,2021-04-28 14:32:18,35-44,Health care,BI Analyst,,72800,0.0,USD,,,United States,Minnesota,St. Paul,11 - 20 years,5-7 years,Master's degree,Woman,White,72800.0,5
14381,2021-04-28 14:32:26,25-34,Engineering or Manufacturing,Counsel,In-House Counsel for Manufacturing company,191000,58000.0,USD,,,United States,,,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,"Black or African American, Native American or Alaska Native, White",249000.0,8
14382,2021-04-28 14:32:29,35-44,Computing or Tech,Product Compliance Manager,"I'm a CPA providing tax and accounting compliance expertise to an accounting software company, vs typical regulatory compliance work.",130000,13000.0,USD,,Bonus is company stock,US,Arizona,"Tucson, but I'm remote to a CO company",11 - 20 years,11 - 20 years,College degree,Woman,White,143000.0,11
14383,2021-04-28 14:32:35,35-44,Engineering or Manufacturing,Director of Technology,,228000,200000.0,USD,,,USA,Texas,San Antonio,21 - 30 years,21 - 30 years,College degree,Woman,White,428000.0,21
14384,2021-04-28 14:32:37,18-24,Health care,Registered Nurse,,65000,5000.0,USD,,,United States,Idaho,Boise,2 - 4 years,2 - 4 years,College degree,Woman,White,70000.0,2
14385,2021-04-28 14:32:43,25-34,Engineering or Manufacturing,Software engineer,,34000,0.0,GBP,,,United Kingdom,,Oxfordshire,1 year or less,1 year or less,Master's degree,Woman,White,47445.28093885839,1
14386,2021-04-28 14:32:48,25-34,"Accounting, Banking & Finance",Senior Operations Financial Analyst,,102000,8000.0,USD,,,Usa,Georgia,Atlanta,5-7 years,2 - 4 years,Master's degree,Woman,Black or African American,110000.0,2
14387,2021-04-28 14:33:05,35-44,Health care,Radiation Therapist,,70000,0.0,USD,,,USA,New York,Rochester,11 - 20 years,5-7 years,College degree,Woman,White,70000.0,5
14388,2021-04-28 14:33:08,25-34,Business or Consulting,Short Term Consultant,,91000,0.0,USD,,,USA,District of Columbia,Washington,5-7 years,5-7 years,Master's degree,Man,White,91000.0,5
14389,2021-04-28 14:33:12,35-44,Nonprofits,Fundraising manager,,95000,0.0,USD,,,US,New York,New York,21 - 30 years,11 - 20 years,College degree,Woman,Another option not listed here or prefer not to answer,95000.0,11
14390,2021-04-28 14:33:21,25-34,Engineering or Manufacturing,Account Manager,For offshore drilling and production companies,115000,3000.0,USD,,,United States,Texas,Houston,11 - 20 years,8 - 10 years,Master's degree,Woman,White,118000.0,8
14391,2021-04-28 14:33:22,25-34,Business or Consulting,Associate,Post-graduate level strategy consultant,190000,40000.0,CAD,,Standardized first-year post-MBA salary; 75% of top bonus amount and retirement contribution included in additional monetary compensation. One-time signing bonus (CAD$30k) and one-time relocation amount (CAD$5k) not included.,Canada,,Toronto,2 - 4 years,2 - 4 years,PhD,Woman,White,186937.91629245217,2
14392,2021-04-28 14:33:36,25-34,Business or Consulting,Business operations associate,,100000,10000.0,USD,,,USA,California,Los Angeles,2 - 4 years,2 - 4 years,Master's degree,Woman,White,110000.0,2
14393,2021-04-28 14:33:38,25-34,Computing or Tech,Senior Product Analyst,I work in digital product for a company that sells a physical product,76000,0.0,GBP,,,United Kingdom,,London,8 - 10 years,8 - 10 years,College degree,Woman,White,106054.15739274229,8
14394,2021-04-28 14:33:41,35-44,Computing or Tech,People manager,,44000,0.0,EUR,,,Ireland,,Dublin,11 - 20 years,2 - 4 years,College degree,Woman,White,53397.604631999486,2
14395,2021-04-28 14:33:41,25-34,"Accounting, Banking & Finance",Client Service Associate,,64000,0.0,USD,,,USA,Oregon,Portland,11 - 20 years,11 - 20 years,Some college,Woman,Black or African American,64000.0,11
14396,2021-04-28 14:33:50,35-44,Computing or Tech,taxonomist,,105000,55000.0,USD,,,USA,Washington,Seattle,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American,160000.0,11
14397,2021-04-28 14:33:56,35-44,Education (Primary/Secondary),Teacher,,65000,15000.0,USD,,"The extra $15,000 is ""productivity pay"" for teaching an extra class period to help lower class sizes—pretty common in certain secondary schools around here.",U.S.,Utah,Orem,11 - 20 years,11 - 20 years,Master's degree,Woman,White,80000.0,11
14398,2021-04-28 14:33:57,35-44,Government and Public Administration,FOIA Analyst,,88000,0.0,USD,,,USA,District of Columbia,Washington,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Man,White,88000.0,5
14399,2021-04-28 14:34:03,25-34,Engineering or Manufacturing,Quality Engineer,,71000,9000.0,USD,,,USA,Wisconsin,Menasha,8 - 10 years,8 - 10 years,College degree,Woman,White,80000.0,8
14400,2021-04-28 14:34:10,25-34,Government and Public Administration,GIS Analyst,,82181,0.0,USD,,,United States,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Man,White,82181.0,11
14401,2021-04-28 14:34:34,18-24,Health care,Development Operations Associate,,62000,0.0,USD,,,USA,New York,New York,5-7 years,1 year or less,College degree,Woman,Asian or Asian American,62000.0,1
14402,2021-04-28 14:34:42,45-54,Law,Legal Assistant,,31200,0.0,USD,,,United States,Ohio,Lima,21 - 30 years,2 - 4 years,College degree,Prefer not to answer,Another option not listed here or prefer not to answer,31200.0,2
14403,2021-04-28 14:35:00,25-34,Law,US Trademark Attorney,,125000,0.0,USD,,,US,Virginia,Remote,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,125000.0,5
14404,2021-04-28 14:35:13,25-34,Engineering or Manufacturing,Controls Engineer,,82000,10000.0,USD,,,United States,North Carolina,Charlotte,2 - 4 years,2 - 4 years,College degree,Man,Black or African American,92000.0,2
14405,2021-04-28 14:35:33,35-44,Engineering or Manufacturing,Business Manager,,180500,50000.0,USD,,,USA,Virginia,Mclean,21 - 30 years,21 - 30 years,College degree,Woman,Asian or Asian American,230500.0,21
14406,2021-04-28 14:35:59,35-44,Nonprofits,Programme Manager,,57000,0.0,EUR,,,Austria,,Vienna,8 - 10 years,8 - 10 years,Master's degree,Woman,White,69174.16963690842,8
14407,2021-04-28 14:36:02,25-34,Computing or Tech,Software Engineer,,210000,31500.0,USD,,"I also was granted ~180k/yr equity upon being hired, but a) the value has since increased, and b) the company is not public so I don't consider this part of my real comp yet.",USA,California,San Francisco,5-7 years,5-7 years,College degree,Woman,White,241500.0,5
14408,2021-04-28 14:36:13,35-44,Law,Staff attorney,,93198,0.0,USD,,,usa,New York,new york,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,93198.0,8
14410,2021-04-28 14:36:37,25-34,Computing or Tech,Senior Product Analyst,I work in digital product for a company that sells a physical product,76000,0.0,GBP,,,United Kingdom,,London,8 - 10 years,8 - 10 years,College degree,Woman,White,106054.15739274229,8
14411,2021-04-28 14:37:07,25-34,Education (Higher Education),Instructor/Assistant Director,"Half my time is being assistant director of a writing center, and the other half is being an instructor in the English department",41000,0.0,USD,,,USA,Kansas,Pittsburg,8 - 10 years,5-7 years,Master's degree,Woman,White,41000.0,5
14412,2021-04-28 14:37:09,35-44,Nonprofits,Program Coordinator,,61000,0.0,USD,,,United States,Rhode Island,Providence,11 - 20 years,2 - 4 years,College degree,Woman,White,61000.0,2
14413,2021-04-28 14:37:14,35-44,Education (Higher Education),Marketing Coordinator/Analyst,,69624,0.0,USD,,,United States,Oregon,Salem,11 - 20 years,8 - 10 years,College degree,Man,White,69624.0,8
14414,2021-04-28 14:37:15,25-34,Health care,Executive Assistant,,71000,0.0,USD,,,United States,Florida,Tampa,8 - 10 years,8 - 10 years,College degree,Woman,White,71000.0,8
14415,2021-04-28 14:37:22,55-64,"Accounting, Banking & Finance",Admin,,52000,1500.0,USD,,,United States,Maine,Portland,31 - 40 years,21 - 30 years,Some college,Woman,White,53500.0,21
14416,2021-04-28 14:37:40,45-54,Health care,RN Navigator,Outpatient Oncology in the Ambulatory setting,101000,3000.0,USD,,,United States,Oregon,Portland,21 - 30 years,5-7 years,College degree,Woman,White,104000.0,5
14417,2021-04-28 14:38:16,25-34,Education (Primary/Secondary),Teacher,,80000,1000.0,USD,,,USA,California,San Mateo,8 - 10 years,5-7 years,PhD,Woman,White,81000.0,5
14418,2021-04-28 14:38:16,25-34,Health care,doctor,,47000,0.0,GBP,,,UK,,London,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,65586.12365077483,2
14420,2021-04-28 14:38:30,25-34,"Marketing, Advertising & PR",Associate Editorial Director,,88000,700.0,USD,,,United States,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,White,88700.0,8
14424,2021-04-28 14:39:00,25-34,Computing or Tech,Principal developer,Software engineer,350000,0.0,EUR,,,France,,Strasbourg,5-7 years,2 - 4 years,College degree,Man,White,424753.6732090868,2
14426,2021-04-28 14:39:18,18-24,Computing or Tech,Accessibility Engineer II,"I work in digital accessibility, ensuring that digital documents and websites are accessible to people with disabilities or who use assistive technology (screen readers, zoom, etc)",90000,9000.0,USD,,"This does come with full-time benefits, but I work a 37.5 hour week",United States,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Man,White,99000.0,2
14430,2021-04-28 14:39:53,25-34,Computing or Tech,Client manager,I'm a hybrid salesperson/analyst for data that we sell to a grocery retailer,90000,10000.0,USD,,,Us,Texas,Austin,11 - 20 years,11 - 20 years,College degree,Woman,White,100000.0,11
14431,2021-04-28 14:40:13,55-64,"Accounting, Banking & Finance",Tax accountant,,75000,5000.0,USD,,,United States,New York,Albany,21 - 30 years,21 - 30 years,Master's degree,Woman,White,80000.0,21
14433,2021-04-28 14:40:14,25-34,Government and Public Administration,Outreach Specialist,,56000,0.0,USD,,,USA,California,"San Jose, CA",5-7 years,5-7 years,College degree,Woman,White,56000.0,5
14434,2021-04-28 14:40:35,25-34,Computing or Tech,Senior Software Engineer,,172000,124000.0,USD,,Most of my additional income is in the form of equity grants,United States,New York,New York City,8 - 10 years,5-7 years,High School,Man,White,296000.0,5
14435,2021-04-28 14:40:41,25-34,"Marketing, Advertising & PR",Account director,Influencer marketing,117000,0.0,USD,,,United States,New York,New York,11 - 20 years,11 - 20 years,College degree,Woman,White,117000.0,11
14436,2021-04-28 14:40:44,25-34,Engineering or Manufacturing,Senior Packaging Engineer,,85000,5000.0,USD,,,United States,Georgia,Atlanta,8 - 10 years,8 - 10 years,College degree,Woman,White,90000.0,8
14437,2021-04-28 14:41:01,55-64,Computing or Tech,DBA Team Leader,,87000,0.0,USD,,,Israel,,Tel Aviv,41 years or more,21 - 30 years,Some college,Man,White,87000.0,21
14438,2021-04-28 14:41:04,35-44,Engineering or Manufacturing,Associate Distribution designer,Basically an electrical engineer without the degree,49500,0.0,USD,,,United States,North Carolina,Charlotte,8 - 10 years,5-7 years,Master's degree,Woman,White,49500.0,5
14439,2021-04-28 14:41:06,25-34,Nonprofits,Executive Director,,40000,1000.0,USD,,,US,Tennessee,Nashville,11 - 20 years,8 - 10 years,College degree,Woman,White,41000.0,8
14440,2021-04-28 14:41:15,25-34,Law,Attorney Adviser,,125000,0.0,USD,,,United States,Maryland,Baltimore,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,Black or African American,125000.0,5
14441,2021-04-28 14:41:24,25-34,"Accounting, Banking & Finance",Senior Treasury Analyst,,65000,0.0,EUR,,,Ireland,,Dublin,5-7 years,5-7 years,Master's degree,Woman,White,78882.82502454468,5
14442,2021-04-28 14:41:53,25-34,Computing or Tech,"Director, Corporate Strategy",,185000,30000.0,USD,,,US,Texas,Austin,5-7 years,5-7 years,College degree,Woman,Asian or Asian American,215000.0,5
14443,2021-04-28 14:42:13,55-64,Government and Public Administration,Circulation Supervisor,,40000,0.0,USD,,,United States,Delaware,Wilmington,5-7 years,5-7 years,College degree,Woman,White,40000.0,5
14444,2021-04-28 14:42:25,18-24,Government and Public Administration,Grants Management Specialist,,60000,0.0,USD,,,United States,New York,New York,2 - 4 years,1 year or less,College degree,Woman,Asian or Asian American,60000.0,1
14445,2021-04-28 14:42:25,25-34,Government and Public Administration,Competent Authority Analyst,International Tax Specialist,122530,0.0,USD,,"As a government employee, my salary is set based on the OPM's GS Pay Scale.",United States,District of Columbia,Washington,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,122530.0,5
14446,2021-04-28 14:42:26,25-34,Business or Consulting,Design Researcher,,135000,13500.0,USD,,,United States,California,San Diego,8 - 10 years,2 - 4 years,Master's degree,Woman,White,148500.0,2
14447,2021-04-28 14:42:33,35-44,Education (Higher Education),Associate Professor of Management,,135200,30000.0,USD,,,US,Indiana,West Lafayette,11 - 20 years,5-7 years,PhD,Woman,White,165200.0,5
14448,2021-04-28 14:42:33,25-34,Computing or Tech,Software Engineer,,127500,0.0,USD,,,USA,California,San Francisco,5-7 years,1 year or less,College degree,Woman,Asian or Asian American,127500.0,1
14449,2021-04-28 14:42:37,25-34,Engineering or Manufacturing,Master Data Analyst,,70000,5000.0,USD,,,United States,Georgia,Atlanta,2 - 4 years,2 - 4 years,Master's degree,Woman,White,75000.0,2
14450,2021-04-28 14:42:42,25-34,"Accounting, Banking & Finance",HR Project Manager,,72000,5000.0,USD,,,US,Virginia,McLean,5-7 years,5-7 years,College degree,Woman,Asian or Asian American,77000.0,5
14451,2021-04-28 14:42:42,35-44,Computing or Tech,Senior Manager - Support,"Manage people in multiple roles, including other managers",90000,30000.0,USD,,,US,Ohio,Cleveland,11 - 20 years,11 - 20 years,Master's degree,Woman,White,120000.0,11
14452,2021-04-28 14:42:50,25-34,Education (Higher Education),Research Assistant,PhD Candidate/Research Assistant,35500,0.0,USD,,,United States,District of Columbia,"Washington, DC",1 year or less,1 year or less,Master's degree,Woman,White,35500.0,1
14453,2021-04-28 14:42:56,25-34,Law,In-house Counsel,Pharmaceutical Industry,97000,30000.0,GBP,,,United Kingdom,,London,8 - 10 years,8 - 10 years,Master's degree,Woman,Another option not listed here or prefer not to answer,177222.07880102983,8
14454,2021-04-28 14:43:19,35-44,Health care,Marketing Manager,,108000,0.0,USD,,,United States,"Texas, Virginia",Richmond,11 - 20 years,11 - 20 years,Master's degree,Woman,White,108000.0,11
14457,2021-04-28 14:44:15,25-34,Nonprofits,Library Technician,,44237,0.0,USD,,I am in a government-adjacent position and am paid on the federal pay scale for my locality.,US,District of Columbia,"Washington, DC",5-7 years,5-7 years,Master's degree,Non-binary,White,44237.0,5
14458,2021-04-28 14:44:16,25-34,Government and Public Administration,Consultant,Primary Care Admin,62000,0.0,CAD,,,Canada,,Vancouver,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American,50391.96004405232,2
14459,2021-04-28 14:44:35,25-34,Engineering or Manufacturing,Team member,I work for one of the largest auto manufacturers in the world (we produce the consistently #1 selling car in the US) My job is to ensure engine quality through various checks and mechanical functionality tests.,60000,20000.0,USD,,,United States,Kentucky,Georgetown,8 - 10 years,5-7 years,College degree,Woman,White,80000.0,5
14460,2021-04-28 14:44:36,25-34,Computing or Tech,Compliance Officer,My role specializes in third party risk management.,70000,8000.0,USD,,,USA,Illinois,Chicago,8 - 10 years,5-7 years,College degree,Woman,Asian or Asian American,78000.0,5
14461,2021-04-28 14:44:47,35-44,Computing or Tech,Network Analyst,Technical support for a small-business-focused firewall company.,57000,3000.0,USD,,,United States,Colorado,Denver,21 - 30 years,8 - 10 years,Some college,Non-binary,White,60000.0,8
14462,2021-04-28 14:44:49,25-34,Computing or Tech,Senior Product Manager,,126000,0.0,USD,,,US,New York,New York,2 - 4 years,2 - 4 years,College degree,Woman,White,126000.0,2
14463,2021-04-28 14:45:04,25-34,Nonprofits,Research scientist,,35000,0.0,EUR,,,Finland,,Helsinki,5-7 years,5-7 years,Master's degree,Woman,White,42475.36732090868,5
14464,2021-04-28 14:45:10,35-44,Nonprofits,Facilities Manager,,63000,0.0,USD,,,United States,Illinois,na,11 - 20 years,11 - 20 years,College degree,Woman,White,63000.0,11
14465,2021-04-28 14:45:12,18-24,Engineering or Manufacturing,Quality Engineer,,71000,1000.0,USD,,,United States,New Jersey,Franklin Lakes,2 - 4 years,2 - 4 years,College degree,Woman,White,72000.0,2
14471,2021-04-28 14:45:38,25-34,Engineering or Manufacturing,Controls Engineer,,82000,5000.0,USD,,,USA,Pennsylvania,LeHigh Valley,2 - 4 years,1 year or less,College degree,Woman,Black or African American,87000.0,1
14472,2021-04-28 14:45:43,25-34,Nonprofits,Volunteer Manager,,51500,0.0,USD,,,United States,District of Columbia,Washington,5-7 years,5-7 years,College degree,Woman,White,51500.0,5
14473,2021-04-28 14:45:49,25-34,"Accounting, Banking & Finance",Senior Analyst,,91000,8000.0,USD,,,USA,California,San Dieg,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American,99000.0,8
14474,2021-04-28 14:46:21,25-34,Nonprofits,Program Assistant,,42000,1000.0,USD,,,USA,District of Columbia,"Washington, DC",2 - 4 years,2 - 4 years,College degree,Woman,White,43000.0,2
14475,2021-04-28 14:46:47,18-24,Engineering or Manufacturing,Structural engineering specialist,,75600,0.0,USD,,,USA,New York,New York city,2 - 4 years,2 - 4 years,Master's degree,Woman,White,75600.0,2
14477,2021-04-28 14:47:08,45-54,Education (Higher Education),Manager,,81000,4000.0,USD,,,US,North Carolina,Greensboro,21 - 30 years,21 - 30 years,Master's degree,Woman,White,85000.0,21
14479,2021-04-28 14:47:32,25-34,Law,attorney,,185000,0.0,USD,,,United States,California,Los Angeles,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,185000.0,8
14481,2021-04-28 14:47:51,25-34,Computing or Tech,Full Stack Developer,,126000,0.0,USD,,,United States of America,Pennsylvania,Scranton,5-7 years,5-7 years,College degree,Man,White,126000.0,5
14485,2021-04-28 14:48:40,25-34,Nonprofits,Marketing and Communications Manager,,64000,0.0,USD,,,United States,Virginia,Arlington,2 - 4 years,2 - 4 years,College degree,Woman,White,64000.0,2
14486,2021-04-28 14:48:41,18-24,Engineering or Manufacturing,Multi-disciplinary engineer II,,87000,4000.0,USD,,,USA,California,Los Angeles,1 year or less,2 - 4 years,Master's degree,Woman,Asian or Asian American,91000.0,2
14487,2021-04-28 14:48:49,25-34,Nonprofits,Associate Director of Foundation Relations,,62500,0.0,USD,,,USA,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White,62500.0,2
14489,2021-04-28 14:49:00,25-34,Engineering or Manufacturing,Transportation Engineer,,74000,0.0,USD,,,United States,Arizona,Phoenix,5-7 years,5-7 years,College degree,Woman,White,74000.0,5
14491,2021-04-28 14:49:16,35-44,Engineering or Manufacturing,Metallurgical Engineer,,60000,0.0,USD,,,United States of America,New York,Schenectady,11 - 20 years,8 - 10 years,College degree,Man,White,60000.0,8
14492,2021-04-28 14:50:06,25-34,Health care,Charge Nurse,"Assisted Living facility, day/eve(no differential)",62400,8000.0,USD,,"overtime is highly variable, unpredictable, and frequently non optional",USA,Hawaii,Honolulu,5-7 years,5-7 years,College degree,Non-binary,White,70400.0,5
14495,2021-04-28 14:50:17,25-34,"Marketing, Advertising & PR",Paid Media Associate,Online Advertising,58000,4000.0,USD,,,United States,California,San Diego,2 - 4 years,2 - 4 years,College degree,Woman,Black or African American,62000.0,2
14496,2021-04-28 14:50:18,25-34,Computing or Tech,Support Engineer,Tech support for cloud platform,101759,8141.0,USD,,,United States,California,San Francisco,5-7 years,5-7 years,Some college,Woman,Asian or Asian American,109900.0,5
14497,2021-04-28 14:50:20,18-24,Engineering or Manufacturing,Structural engineering specialist,,75600,0.0,USD,,,USA,New York,New York city,2 - 4 years,2 - 4 years,Master's degree,Woman,White,75600.0,2
14498,2021-04-28 14:50:31,25-34,Engineering or Manufacturing,Rail Engineer,,94000,3000.0,USD,,,USA,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,White,97000.0,5
14499,2021-04-28 14:50:52,25-34,Engineering or Manufacturing,Geoscientist,,65000,1000.0,USD,,,USA,Arizona,Tucson,5-7 years,5-7 years,College degree,Woman,Another option not listed here or prefer not to answer,66000.0,5
14502,2021-04-28 14:50:59,35-44,"Accounting, Banking & Finance",AR Systems Specialist,"A step up form working on normal accounts, I also deal with system issues as a first step before going to IT, corporate environment",57000,5000.0,USD,,,United States,Michigan,Grand Rapids,11 - 20 years,8 - 10 years,College degree,Man,White,62000.0,8
14503,2021-04-28 14:51:18,55-64,Education (Primary/Secondary),Teacher,,42000,500.0,USD,,,US,Illinois,Nauvoo,11 - 20 years,11 - 20 years,College degree,Woman,White,42500.0,11
