,age,country,highest_level_of_education_completed,gender,race,totalCompensation,min_years_of_relevant_experience,Latitude,Longitude
11727,45-54,USA,College Degree,Woman,White,86000.0,5,40.0792,-98.8164
11728,35-44,USA,College Degree,Man,White,305000.0,11,40.0792,-98.8164
11729,25-34,USA,College Degree,Man,White,250000.0,11,40.0792,-98.8164
11730,35-44,USA,PhD,Woman,White,135000.0,2,40.0792,-98.8164
11731,25-34,USA,Master's degree,Woman,White,118000.0,11,40.0792,-98.8164
11732,25-34,USA,Master's degree,Woman,Middle Eastern or Northern African,105000.0,2,40.0792,-98.8164
11733,18-24,USA,College Degree,Woman,White,60000.0,2,40.0792,-98.8164
11734,25-34,USA,High School,Man,White,296000.0,11,40.0792,-98.8164
11735,25-34,USA,PhD,Woman,Black or African American,200000.0,8,40.0792,-98.8164
11736,35-44,USA,College Degree,Man,"Hispanic, Latino, or Spanish origin",315000.0,11,40.0792,-98.8164
11737,25-34,USA,Master's degree,Man,Asian or Asian American,214550.0,5,40.0792,-98.8164
11738,35-44,USA,College Degree,Man,White,312500.0,11,40.0792,-98.8164
11739,25-34,USA,College Degree,Man,White,131869.0,11,40.0792,-98.8164
11740,45-54,USA,Master's degree,Woman,Asian or Asian American,173000.0,5,40.0792,-98.8164
11741,35-44,USA,College Degree,Woman,White,48200.0,2,40.0792,-98.8164
11742,35-44,USA,College Degree,Woman,White,40000.0,8,40.0792,-98.8164
11743,25-34,USA,Master's degree,Woman,White,175000.0,2,40.0792,-98.8164
11744,25-34,USA,College Degree,Man,White,96000.0,11,40.0792,-98.8164
11745,25-34,USA,College Degree,Man,White,126000.0,5,40.0792,-98.8164
11746,25-34,USA,College Degree,Man,White,251687.0,11,40.0792,-98.8164
11747,25-34,USA,College Degree,Man,White,37248.0,1,40.0792,-98.8164
11748,25-34,USA,College Degree,Man,White,175000.0,5,40.0792,-98.8164
11749,35-44,USA,Master's degree,Woman,White,217000.0,5,40.0792,-98.8164
11750,35-44,USA,College Degree,Man,White,113800.0,8,40.0792,-98.8164
11751,35-44,USA,College Degree,Man,White,195000.0,11,40.0792,-98.8164
11752,25-34,USA,College Degree,Woman,Another option not listed here or prefer not to answer,75000.0,5,40.0792,-98.8164
11753,25-34,USA,College Degree,Man,White,73000.0,2,40.0792,-98.8164
11754,35-44,USA,College Degree,Man,Another option not listed here or prefer not to answer,320000.0,11,40.0792,-98.8164
11755,35-44,USA,College Degree,Man,White,105000.0,2,40.0792,-98.8164
11756,55-64,USA,PhD,Woman,White,68560.0,2,40.0792,-98.8164
11757,45-54,USA,College Degree,Man,White,130000.0,11,40.0792,-98.8164
11758,45-54,USA,Master's degree,Woman,White,110000.0,8,40.0792,-98.8164
11759,35-44,USA,Master's degree,Woman,White,95000.0,8,40.0792,-98.8164
11760,45-54,USA,College Degree,Man,White,252000.0,21,40.0792,-98.8164
11761,35-44,USA,College Degree,Woman,White,53000.0,11,40.0792,-98.8164
11762,35-44,USA,College Degree,Man,White,309000.0,11,40.0792,-98.8164
11763,25-34,USA,College Degree,Man,White,95350.0,5,40.0792,-98.8164
11764,25-34,USA,College Degree,Woman,White,144000.0,2,40.0792,-98.8164
11765,25-34,USA,Master's degree,Woman,Asian or Asian American,93000.0,1,40.0792,-98.8164
11766,25-34,USA,Master's degree,Woman,White,65000.0,5,40.0792,-98.8164
11767,35-44,USA,College Degree,Man,White,219380.0,11,40.0792,-98.8164
11768,25-34,USA,College Degree,Man,Black or African American,130000.0,5,40.0792,-98.8164
11769,35-44,USA,College Degree,Man,White,103000.0,5,40.0792,-98.8164
11770,35-44,USA,College Degree,Woman,Asian or Asian American,198000.0,11,40.0792,-98.8164
11771,35-44,USA,Master's degree,Man,White,360000.0,11,40.0792,-98.8164
11772,35-44,USA,College Degree,Man,"Hispanic, Latino, or Spanish origin",280000.0,21,40.0792,-98.8164
11773,35-44,USA,College Degree,Man,White,200000.0,11,40.0792,-98.8164
11774,35-44,USA,College Degree,Man,White,200000.0,8,40.0792,-98.8164
11775,55-64,USA,Master's degree,Woman,White,97000.0,21,40.0792,-98.8164
11776,35-44,USA,College Degree,Woman,White,103000.0,8,40.0792,-98.8164
11777,25-34,USA,College Degree,Man,Asian or Asian American,164000.0,2,40.0792,-98.8164
11778,18-24,USA,College Degree,Woman,White,37216.0,2,40.0792,-98.8164
11779,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,Black or African American,131000.0,1,40.0792,-98.8164
11780,35-44,USA,College Degree,Man,White,100000.0,8,40.0792,-98.8164
11781,25-34,USA,Master's degree,Woman,White,63656.81098,5,40.0792,-98.8164
11782,45-54,USA,College Degree,Man,White,116500.0,11,40.0792,-98.8164
11783,25-34,USA,College Degree,Man,White,425499.0,5,40.0792,-98.8164
11784,35-44,USA,PhD,Man,White,165000.0,2,40.0792,-98.8164
11785,35-44,USA,College Degree,Man,White,387000.0,8,40.0792,-98.8164
11786,25-34,USA,PhD,Woman,Asian or Asian American,184500.0,5,40.0792,-98.8164
11787,45-54,USA,Master's degree,Man,White,195000.0,21,40.0792,-98.8164
11788,35-44,USA,Master's degree,Woman,White,225000.0,11,40.0792,-98.8164
11789,35-44,USA,College Degree,Man,White,114000.0,8,40.0792,-98.8164
11790,25-34,USA,Master's degree,Woman,White,180000.0,8,40.0792,-98.8164
11791,45-54,USA,College Degree,Man,White,165000.0,8,40.0792,-98.8164
11792,55-64,USA,Master's degree,Woman,White,262000.0,11,40.0792,-98.8164
11793,25-34,USA,College Degree,Woman,White,83000.0,2,40.0792,-98.8164
11794,35-44,USA,College Degree,Man,White,101000.0,5,40.0792,-98.8164
11795,45-54,USA,High School,Woman,Asian or Asian American,91900.0,21,40.0792,-98.8164
11796,35-44,USA,College Degree,Man,White,190000.0,11,40.0792,-98.8164
11797,25-34,USA,Master's degree,Woman,White,80000.0,8,40.0792,-98.8164
11798,25-34,USA,College Degree,Woman,Asian or Asian American,45000.0,1,40.0792,-98.8164
11799,35-44,USA,College Degree,Man,White,111000.0,11,40.0792,-98.8164
11800,35-44,USA,College Degree,Woman,Another option not listed here or prefer not to answer,55000.0,5,40.0792,-98.8164
11801,35-44,USA,College Degree,Man,White,255000.0,11,40.0792,-98.8164
11802,25-34,USA,College Degree,Woman,Asian or Asian American,100900.0,2,40.0792,-98.8164
11803,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,147000.0,11,40.0792,-98.8164
11804,25-34,USA,College Degree,Prefer not to answer,Another option not listed here or prefer not to answer,94400.0,2,40.0792,-98.8164
11805,25-34,USA,Master's degree,Woman,Black or African American,47200.0,5,40.0792,-98.8164
11806,25-34,USA,College Degree,Man,Asian or Asian American,68000.0,8,40.0792,-98.8164
11807,25-34,USA,College Degree,Woman,White,315000.0,2,40.0792,-98.8164
11808,35-44,USA,College Degree,Woman,Black or African American,113000.0,11,40.0792,-98.8164
11809,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,162500.0,2,40.0792,-98.8164
11810,25-34,USA,College Degree,Woman,Asian or Asian American,142000.0,2,40.0792,-98.8164
11811,25-34,USA,College Degree,Man,White,170000.0,8,40.0792,-98.8164
11812,25-34,USA,College Degree,Woman,White,283900.0,2,40.0792,-98.8164
11813,25-34,USA,College Degree,Woman,Asian or Asian American,125000.0,2,40.0792,-98.8164
11814,35-44,USA,College Degree,Man,White,310000.0,11,40.0792,-98.8164
11815,35-44,USA,PhD,Man,White,440000.0,5,40.0792,-98.8164
11816,25-34,USA,College Degree,Woman,White,52000.0,8,40.0792,-98.8164
11817,25-34,USA,College Degree,Woman,White,55000.0,8,40.0792,-98.8164
11818,25-34,USA,Master's degree,Man,White,185000.0,5,40.0792,-98.8164
11819,18-24,USA,College Degree,Woman,White,41600.0,2,40.0792,-98.8164
11820,25-34,USA,College Degree,Man,Asian or Asian American,370000.0,8,40.0792,-98.8164
11821,35-44,USA,College Degree,Man,White,121000.0,8,40.0792,-98.8164
11822,18-24,USA,College Degree,Woman,Asian or Asian American,108500.0,2,40.0792,-98.8164
11823,35-44,USA,College Degree,Woman,White,96000.0,11,40.0792,-98.8164
11824,25-34,USA,College Degree,Woman,Asian or Asian American,86000.0,8,40.0792,-98.8164
11825,35-44,USA,Master's degree,Man,Black or African American,258000.0,11,40.0792,-98.8164
11826,25-34,USA,Master's degree,Woman,White,78000.0,5,40.0792,-98.8164
11827,35-44,USA,Master's degree,Man,White,80000.0,2,40.0792,-98.8164
11828,35-44,USA,Master's degree,Woman,White,150000.0,5,40.0792,-98.8164
11829,25-34,USA,College Degree,Man,White,152000.0,2,40.0792,-98.8164
11830,25-34,USA,College Degree,Woman,Asian or Asian American,300000.0,8,40.0792,-98.8164
11831,25-34,USA,"Professional degree (MD, JD, etc.)",Prefer not to answer,White,88000.0,2,40.0792,-98.8164
11832,25-34,USA,College Degree,Man,White,330000.0,11,40.0792,-98.8164
11833,35-44,USA,Master's degree,Man,White,205000.0,11,40.0792,-98.8164
11834,35-44,USA,College Degree,Man,White,166000.0,8,40.0792,-98.8164
11835,35-44,USA,College Degree,Woman,White,90000.0,5,40.0792,-98.8164
11836,25-34,USA,Master's degree,Man,Asian or Asian American,78000.0,1,40.0792,-98.8164
11837,35-44,USA,College Degree,Man,White,220000.0,21,40.0792,-98.8164
11838,35-44,USA,College Degree,Woman,White,53000.0,11,40.0792,-98.8164
11839,35-44,USA,High School,Woman,White,56000.0,21,40.0792,-98.8164
11840,45-54,USA,Master's degree,Man,White,250000.0,5,40.0792,-98.8164
11841,45-54,USA,College Degree,Woman,White,165000.0,21,40.0792,-98.8164
11842,35-44,USA,Master's degree,Woman,White,148000.0,11,40.0792,-98.8164
11843,35-44,USA,College Degree,Man,White,335000.0,11,40.0792,-98.8164
11844,35-44,USA,Master's degree,Woman,Asian or Asian American,110000.0,11,40.0792,-98.8164
11845,35-44,USA,Master's degree,Woman,White,55000.0,2,40.0792,-98.8164
11846,25-34,USA,College Degree,Man,"Hispanic, Latino, or Spanish origin",108500.0,5,40.0792,-98.8164
11847,35-44,USA,Master's degree,Woman,White,93000.0,8,40.0792,-98.8164
11848,45-54,USA,PhD,Woman,White,188000.0,21,40.0792,-98.8164
11849,25-34,USA,College Degree,Man,Black or African American,71699.0,2,40.0792,-98.8164
11850,35-44,USA,College Degree,Woman,White,135000.0,11,40.0792,-98.8164
11851,25-34,USA,Master's degree,Woman,White,107000.0,2,40.0792,-98.8164
11852,25-34,USA,Master's degree,Man,White,55000.0,1,40.0792,-98.8164
11853,45-54,USA,College Degree,Woman,White,50000.0,5,40.0792,-98.8164
11854,55-64,USA,Master's degree,Woman,Black or African American,158600.0,21,40.0792,-98.8164
11855,45-54,USA,College Degree,Man,White,93500.0,21,40.0792,-98.8164
11856,35-44,USA,Master's degree,Woman,White,175000.0,11,40.0792,-98.8164
11857,35-44,USA,Master's degree,Woman,White,105000.0,2,40.0792,-98.8164
11858,35-44,USA,College Degree,Woman,White,60000.0,5,40.0792,-98.8164
11859,18-24,USA,College Degree,Man,White,43264.0,2,40.0792,-98.8164
11860,35-44,USA,Master's degree,Woman,White,132000.0,11,40.0792,-98.8164
11861,45-54,USA,College Degree,Man,White,77000.0,11,40.0792,-98.8164
11862,25-34,USA,College Degree,Man,White,74000.0,2,40.0792,-98.8164
11863,35-44,USA,College Degree,Man,White,162000.0,11,40.0792,-98.8164
11864,35-44,USA,High School,Woman,White,48000.0,8,40.0792,-98.8164
11865,25-34,USA,College Degree,Woman,White,110000.0,5,40.0792,-98.8164
11866,35-44,USA,PhD,Woman,White,143000.0,11,40.0792,-98.8164
11867,35-44,USA,College Degree,Man,White,264000.0,21,40.0792,-98.8164
11868,25-34,USA,College Degree,Woman,Asian or Asian American,130000.0,5,40.0792,-98.8164
11869,55-64,USA,College Degree,Prefer not to answer,White,105000.0,11,40.0792,-98.8164
11870,35-44,USA,PhD,Man,White,170000.0,5,40.0792,-98.8164
11871,25-34,USA,College Degree,Woman,Asian or Asian American,59000.0,5,40.0792,-98.8164
11872,35-44,USA,College Degree,Woman,"Hispanic, Latino, or Spanish origin",48886.0,5,40.0792,-98.8164
11873,25-34,USA,Master's degree,Man,White,70000.0,5,40.0792,-98.8164
11874,25-34,USA,College Degree,Woman,White,110000.0,8,40.0792,-98.8164
11875,35-44,USA,College Degree,Woman,White,71000.0,11,40.0792,-98.8164
11876,35-44,USA,"Professional degree (MD, JD, etc.)",Man,White,371250.0,5,40.0792,-98.8164
11877,35-44,USA,College Degree,Woman,Middle Eastern or Northern African,135000.0,5,40.0792,-98.8164
11878,45-54,USA,Master's degree,Woman,White,200000.0,21,40.0792,-98.8164
11879,25-34,USA,Master's degree,Woman,White,58500.0,2,40.0792,-98.8164
11880,45-54,USA,College Degree,Woman,White,73000.0,31,40.0792,-98.8164
11881,35-44,USA,PhD,Prefer not to answer,Black or African American,128000.0,8,40.0792,-98.8164
11882,35-44,USA,College Degree,Man,Another option not listed here or prefer not to answer,400000.0,5,40.0792,-98.8164
11883,35-44,USA,College Degree,Woman,White,84500.0,11,40.0792,-98.8164
11884,35-44,USA,College Degree,Woman,White,67500.0,5,40.0792,-98.8164
11885,35-44,USA,College Degree,Woman,White,59000.0,5,40.0792,-98.8164
11886,45-54,USA,College Degree,Woman,White,53100.0,5,40.0792,-98.8164
11887,18-24,USA,College Degree,Woman,White,41500.0,1,40.0792,-98.8164
11888,25-34,USA,College Degree,Man,White,82000.0,5,40.0792,-98.8164
11889,25-34,USA,College Degree,Woman,White,90200.0,8,40.0792,-98.8164
11890,35-44,USA,College Degree,Man,White,72000.0,8,40.0792,-98.8164
11891,35-44,USA,College Degree,Woman,White,54000.0,5,40.0792,-98.8164
11892,45-54,USA,College Degree,Woman,White,62000.0,11,40.0792,-98.8164
11893,35-44,USA,Master's degree,Man,White,135000.0,11,40.0792,-98.8164
11894,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,150000.0,11,40.0792,-98.8164
11895,35-44,USA,Master's degree,Woman,White,32000.0,2,40.0792,-98.8164
11896,25-34,USA,College Degree,Woman,"Hispanic, Latino, or Spanish origin",63000.0,2,40.0792,-98.8164
11897,25-34,USA,College Degree,Man,White,600000.0,11,40.0792,-98.8164
11898,35-44,USA,College Degree,Woman,White,121000.0,11,40.0792,-98.8164
11899,18-24,USA,College Degree,Woman,White,37500.0,1,40.0792,-98.8164
11900,35-44,USA,Master's degree,Woman,White,32000.0,2,40.0792,-98.8164
11901,35-44,USA,Master's degree,Man,White,172000.0,8,40.0792,-98.8164
11902,35-44,USA,Master's degree,Man,White,77766.0,2,40.0792,-98.8164
11903,25-34,USA,Master's degree,Woman,Asian or Asian American,149990.0,5,40.0792,-98.8164
11904,35-44,USA,Master's degree,Woman,White,94000.0,11,40.0792,-98.8164
11905,35-44,USA,College Degree,Man,White,350000.0,11,40.0792,-98.8164
11906,35-44,USA,College Degree,Woman,White,137000.0,11,40.0792,-98.8164
11907,35-44,USA,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",96000.0,11,40.0792,-98.8164
11908,25-34,USA,Master's degree,Man,White,116000.0,2,40.0792,-98.8164
11909,25-34,USA,College Degree,Woman,White,60000.0,2,40.0792,-98.8164
11910,35-44,USA,College Degree,Man,White,172000.0,11,40.0792,-98.8164
11911,35-44,USA,College Degree,Woman,White,119500.0,11,40.0792,-98.8164
11912,45-54,USA,Master's degree,Woman,White,47400.0,2,40.0792,-98.8164
11913,35-44,USA,College Degree,Man,White,162000.0,11,40.0792,-98.8164
11914,25-34,USA,Master's degree,Woman,White,145000.0,8,40.0792,-98.8164
11915,45-54,USA,College Degree,Woman,White,117000.0,21,40.0792,-98.8164
11916,45-54,USA,College Degree,Woman,White,42827.0,2,40.0792,-98.8164
11917,55-64,USA,College Degree,Woman,White,168000.0,21,40.0792,-98.8164
11918,25-34,USA,Master's degree,Man,White,120000.0,5,40.0792,-98.8164
11919,35-44,USA,Master's degree,Woman,White,160000.0,11,40.0792,-98.8164
11920,35-44,USA,College Degree,Man,White,192500.0,11,40.0792,-98.8164
11921,35-44,USA,College Degree,Man,White,162000.0,11,40.0792,-98.8164
11922,25-34,USA,College Degree,Woman,Asian or Asian American,131000.0,8,40.0792,-98.8164
11923,25-34,USA,Master's degree,Woman,White,42000.0,5,40.0792,-98.8164
11924,25-34,USA,College Degree,Woman,"Hispanic, Latino, or Spanish origin",118800.0,2,40.0792,-98.8164
11925,35-44,USA,College Degree,Man,White,64000.0,11,40.0792,-98.8164
11926,35-44,USA,College Degree,Man,White,215000.0,11,40.0792,-98.8164
11927,25-34,USA,College Degree,Man,White,200000.0,11,40.0792,-98.8164
11928,45-54,USA,Master's degree,Woman,White,95000.0,11,40.0792,-98.8164
11929,25-34,USA,Master's degree,Woman,White,59000.0,2,40.0792,-98.8164
11930,25-34,USA,College Degree,Man,Asian or Asian American,190000.0,8,40.0792,-98.8164
11931,25-34,USA,Master's degree,Woman,Another option not listed here or prefer not to answer,124000.0,2,40.0792,-98.8164
11932,35-44,USA,Master's degree,Man,White,207000.0,11,40.0792,-98.8164
11933,25-34,USA,College Degree,Woman,White,75000.0,2,40.0792,-98.8164
11934,45-54,USA,Master's degree,Woman,White,150000.0,11,40.0792,-98.8164
11935,35-44,USA,Master's degree,Woman,White,118000.0,11,40.0792,-98.8164
11936,45-54,USA,Master's degree,Woman,White,117500.0,11,40.0792,-98.8164
11937,25-34,USA,College Degree,Prefer not to answer,Another option not listed here or prefer not to answer,60000.0,1,40.0792,-98.8164
11938,25-34,USA,College Degree,Woman,White,86000.0,5,40.0792,-98.8164
11939,25-34,USA,College Degree,Woman,White,127000.0,2,40.0792,-98.8164
11940,25-34,USA,College Degree,Woman,White,60000.0,5,40.0792,-98.8164
11941,25-34,USA,College Degree,Woman,Asian or Asian American,171000.0,2,40.0792,-98.8164
11942,45-54,USA,College Degree,Woman,White,58116.0,5,40.0792,-98.8164
11943,18-24,USA,College Degree,Woman,White,60000.0,2,40.0792,-98.8164
11944,55-64,USA,College Degree,Woman,Another option not listed here or prefer not to answer,37000.0,11,40.0792,-98.8164
11945,55-64,USA,College Degree,Man,White,80000.0,5,40.0792,-98.8164
11946,25-34,USA,College Degree,Non-binary,White,55000.0,5,40.0792,-98.8164
11947,35-44,USA,Master's degree,Non-binary,"Hispanic, Latino, or Spanish origin",62000.0,5,40.0792,-98.8164
11948,25-34,USA,College Degree,Man,Asian or Asian American,230000.0,11,40.0792,-98.8164
11949,35-44,USA,Master's degree,Man,White,49000.0,11,40.0792,-98.8164
11950,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,120120.0,11,40.0792,-98.8164
11951,25-34,USA,College Degree,Man,White,140000.0,5,40.0792,-98.8164
11952,35-44,USA,College Degree,Man,White,93000.0,11,40.0792,-98.8164
11953,35-44,USA,College Degree,Man,White,130000.0,8,40.0792,-98.8164
11954,35-44,USA,PhD,Man,White,98931.0,5,40.0792,-98.8164
11955,35-44,USA,Master's degree,Woman,Black or African American,90000.0,11,40.0792,-98.8164
11956,35-44,USA,Master's degree,Woman,White,137500.0,2,40.0792,-98.8164
11957,45-54,USA,College Degree,Woman,White,152000.0,11,40.0792,-98.8164
11958,35-44,USA,Master's degree,Woman,White,40000.0,2,40.0792,-98.8164
11959,25-34,USA,College Degree,Woman,Black or African American,58000.0,2,40.0792,-98.8164
11960,35-44,USA,PhD,Man,White,120000.0,2,40.0792,-98.8164
11961,35-44,USA,College Degree,Man,White,159000.0,21,40.0792,-98.8164
11962,35-44,USA,College Degree,Prefer not to answer,Another option not listed here or prefer not to answer,44000.0,5,40.0792,-98.8164
11963,25-34,USA,College Degree,Woman,White,132500.0,5,40.0792,-98.8164
11964,35-44,USA,Master's degree,Woman,White,72000.0,11,40.0792,-98.8164
11965,35-44,USA,Master's degree,Woman,Asian or Asian American,50000.0,5,40.0792,-98.8164
11966,45-54,USA,College Degree,Woman,White,118000.0,11,40.0792,-98.8164
11967,35-44,USA,Master's degree,Man,White,215000.0,5,40.0792,-98.8164
11968,25-34,USA,"Professional degree (MD, JD, etc.)",Man,White,90000.0,2,40.0792,-98.8164
11969,35-44,USA,PhD,Woman,White,150000.0,5,40.0792,-98.8164
11970,35-44,USA,Master's degree,Woman,White,72900.0,11,40.0792,-98.8164
11971,55-64,USA,High School,Woman,White,79500.0,8,40.0792,-98.8164
11972,25-34,USA,College Degree,Man,Asian or Asian American,83000.0,2,40.0792,-98.8164
11973,25-34,USA,Master's degree,Woman,White,50000.0,5,40.0792,-98.8164
11974,25-34,USA,College Degree,Woman,Black or African American,88000.0,8,40.0792,-98.8164
11975,35-44,USA,College Degree,Man,White,205000.0,11,40.0792,-98.8164
11976,25-34,USA,College Degree,Man,White,96000.0,2,40.0792,-98.8164
11977,35-44,USA,College Degree,Woman,White,65000.0,8,40.0792,-98.8164
11978,35-44,USA,College Degree,Woman,White,68000.0,5,40.0792,-98.8164
11979,35-44,USA,College Degree,Man,White,50000.0,5,40.0792,-98.8164
11980,35-44,USA,College Degree,Man,White,110000.0,5,40.0792,-98.8164
11981,35-44,USA,College Degree,Man,White,150000.0,21,40.0792,-98.8164
11982,25-34,USA,College Degree,Man,White,160000.0,5,40.0792,-98.8164
11983,35-44,USA,Master's degree,Non-binary,White,182000.0,8,40.0792,-98.8164
11984,35-44,USA,College Degree,Man,White,201000.0,11,40.0792,-98.8164
11985,25-34,USA,Master's degree,Man,White,60000.0,2,40.0792,-98.8164
11986,25-34,USA,Master's degree,Woman,White,50836.0,2,40.0792,-98.8164
11987,18-24,USA,Master's degree,Woman,White,58000.0,2,40.0792,-98.8164
11988,25-34,USA,College Degree,Woman,Asian or Asian American,225000.0,5,40.0792,-98.8164
11989,35-44,USA,College Degree,Man,White,103500.0,21,40.0792,-98.8164
11990,25-34,USA,College Degree,Woman,White,103000.0,5,40.0792,-98.8164
11991,45-54,USA,Master's degree,Woman,White,70000.0,8,40.0792,-98.8164
11992,25-34,USA,College Degree,Woman,"Hispanic, Latino, or Spanish origin",45700.0,2,40.0792,-98.8164
11993,25-34,USA,"Professional degree (MD, JD, etc.)",Woman,White,115000.0,5,40.0792,-98.8164
11994,45-54,USA,College Degree,Woman,White,120000.0,21,40.0792,-98.8164
11995,45-54,USA,College Degree,Man,White,80000.0,11,40.0792,-98.8164
11996,25-34,USA,College Degree,Woman,White,62000.0,8,40.0792,-98.8164
11997,25-34,USA,College Degree,Woman,White,34000.0,8,40.0792,-98.8164
11998,35-44,USA,Master's degree,Woman,White,110000.0,11,40.0792,-98.8164
11999,35-44,USA,Master's degree,Man,Black or African American,34132.0,5,40.0792,-98.8164
12000,35-44,USA,College Degree,Woman,White,64000.0,11,40.0792,-98.8164
12001,35-44,USA,"Professional degree (MD, JD, etc.)",Man,White,160000.0,5,40.0792,-98.8164
12002,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,270000.0,11,40.0792,-98.8164
12003,35-44,USA,Master's degree,Woman,White,59700.0,2,40.0792,-98.8164
12004,25-34,USA,College Degree,Woman,White,157500.0,8,40.0792,-98.8164
12005,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,77000.0,5,40.0792,-98.8164
12006,35-44,USA,College Degree,Woman,White,82500.0,8,40.0792,-98.8164
12007,35-44,USA,"Professional degree (MD, JD, etc.)",Woman,White,78685.0,8,40.0792,-98.8164
12008,18-24,USA,Master's degree,Woman,White,67000.0,2,40.0792,-98.8164
12009,25-34,USA,College Degree,Man,Asian or Asian American,164000.0,5,40.0792,-98.8164
12010,25-34,USA,College Degree,Woman,White,60000.0,5,40.0792,-98.8164
12011,25-34,USA,College Degree,Woman,White,100000.0,2,40.0792,-98.8164
12012,25-34,USA,Master's degree,Man,White,133000.0,2,40.0792,-98.8164
12013,25-34,USA,High School,Woman,White,71500.0,11,40.0792,-98.8164
12014,35-44,USA,Master's degree,Woman,White,122000.0,11,40.0792,-98.8164
12015,35-44,USA,College Degree,Woman,White,107015.0,11,40.0792,-98.8164
12016,35-44,USA,College Degree,Man,White,97000.0,11,40.0792,-98.8164
12017,25-34,USA,Master's degree,Man,White,85000.0,5,40.0792,-98.8164
12018,25-34,USA,College Degree,Man,White,124000.0,8,40.0792,-98.8164
12019,18-24,USA,College Degree,Woman,White,48000.0,1,40.0792,-98.8164
12020,35-44,USA,College Degree,Woman,"Hispanic, Latino, or Spanish origin",56000.0,2,40.0792,-98.8164
12021,18-24,USA,College Degree,Man,White,50000.0,2,40.0792,-98.8164
12022,25-34,USA,Master's degree,Woman,White,37000.0,2,40.0792,-98.8164
12023,25-34,USA,College Degree,Man,White,170000.0,8,40.0792,-98.8164
12024,65 or over,USA,PhD,Woman,White,120000.0,31,40.0792,-98.8164
12025,35-44,USA,PhD,Woman,Another option not listed here or prefer not to answer,79000.0,2,40.0792,-98.8164
12026,45-54,USA,College Degree,Man,White,210000.0,21,40.0792,-98.8164
12027,25-34,USA,Master's degree,Man,White,94600.0,5,40.0792,-98.8164
12028,35-44,USA,College Degree,Woman,White,80900.0,2,40.0792,-98.8164
12029,35-44,USA,College Degree,Man,White,81000.0,8,40.0792,-98.8164
12030,25-34,USA,Master's degree,Man,White,75000.0,2,40.0792,-98.8164
12031,55-64,USA,College Degree,Woman,White,85000.0,21,40.0792,-98.8164
12032,25-34,USA,College Degree,Woman,White,60000.0,2,40.0792,-98.8164
12033,25-34,USA,College Degree,Woman,White,67000.0,5,40.0792,-98.8164
12034,35-44,USA,Master's degree,Man,White,182500.0,8,40.0792,-98.8164
12035,25-34,USA,College Degree,Man,White,57500.0,5,40.0792,-98.8164
12036,25-34,USA,Master's degree,Man,White,70000.0,2,40.0792,-98.8164
12037,18-24,USA,College Degree,Woman,"Hispanic, Latino, or Spanish origin",60000.0,2,40.0792,-98.8164
12038,18-24,USA,College Degree,Woman,Asian or Asian American,69000.0,2,40.0792,-98.8164
12039,35-44,USA,Master's degree,Woman,Another option not listed here or prefer not to answer,75000.0,8,40.0792,-98.8164
12040,35-44,USA,Master's degree,Woman,White,195000.0,11,40.0792,-98.8164
12041,35-44,USA,Master's degree,Woman,White,80000.0,8,40.0792,-98.8164
12042,35-44,USA,Master's degree,Woman,White,206000.0,8,40.0792,-98.8164
12043,45-54,USA,Master's degree,Woman,White,130000.0,21,40.0792,-98.8164
12044,35-44,USA,College Degree,Woman,White,56160.0,11,40.0792,-98.8164
12045,45-54,USA,College Degree,Woman,White,45437.0,11,40.0792,-98.8164
12046,35-44,USA,Master's degree,Man,Asian or Asian American,480000.0,11,40.0792,-98.8164
12047,35-44,USA,College Degree,Man,White,112000.0,11,40.0792,-98.8164
12048,25-34,USA,College Degree,Man,Asian or Asian American,107000.0,5,40.0792,-98.8164
12049,35-44,USA,College Degree,Woman,White,65000.0,2,40.0792,-98.8164
12050,25-34,USA,College Degree,Woman,White,72000.0,5,40.0792,-98.8164
12051,45-54,USA,College Degree,Woman,White,55500.0,21,40.0792,-98.8164
12052,25-34,USA,College Degree,Woman,White,120000.0,2,40.0792,-98.8164
12053,35-44,USA,College Degree,Man,White,112000.0,11,40.0792,-98.8164
12054,35-44,USA,"Professional degree (MD, JD, etc.)",Man,White,229000.0,8,40.0792,-98.8164
12055,18-24,USA,College Degree,Non-binary,White,80500.0,2,40.0792,-98.8164
12056,25-34,USA,High School,Man,White,64000.0,1,40.0792,-98.8164
12057,25-34,USA,College Degree,Woman,White,100000.0,5,40.0792,-98.8164
12058,25-34,USA,College Degree,Woman,Black or African American,250000.0,2,40.0792,-98.8164
12059,25-34,USA,"Professional degree (MD, JD, etc.)",Woman,White,235000.0,5,40.0792,-98.8164
12060,55-64,USA,Master's degree,Woman,White,97000.0,21,40.0792,-98.8164
12061,25-34,USA,College Degree,Woman,White,88000.0,2,40.0792,-98.8164
12062,25-34,USA,College Degree,Woman,White,100000.0,5,40.0792,-98.8164
